run,arm,k,topic,n_solved_greedy,n_survived,survival_pct,headline_flag
k123_multiseed,zero,0,amenity_richness,158,81,0.5127,headline_safe
k123_multiseed,zero,0,building_height,134,69,0.5149,headline_unsafe(leaky)
k123_multiseed,zero,0,junction_type,228,112,0.4912,headline_unsafe(leaky)
k123_multiseed,zero,0,land_use,233,172,0.7382,headline_unsafe(leaky)
k123_multiseed,zero,0,road_surface,277,267,0.9639,headline_unsafe(leaky)
k123_multiseed,zero,0,road_type,320,190,0.5938,headline_unsafe(leaky)
k123_multiseed,zero,0,transit_density,130,110,0.8462,headline_safe
k123_multiseed,zero,0,urban_density,183,114,0.623,headline_unsafe(leaky)
k123_multiseed,bottom,1,amenity_richness,158,119,0.7532,headline_safe
k123_multiseed,bottom,1,building_height,134,102,0.7612,headline_unsafe(leaky)
k123_multiseed,bottom,1,junction_type,228,203,0.8904,headline_unsafe(leaky)
k123_multiseed,bottom,1,land_use,233,183,0.7854,headline_unsafe(leaky)
k123_multiseed,bottom,1,road_surface,277,248,0.8953,headline_unsafe(leaky)
k123_multiseed,bottom,1,road_type,320,262,0.8187,headline_unsafe(leaky)
k123_multiseed,bottom,1,transit_density,130,111,0.8538,headline_safe
k123_multiseed,bottom,1,urban_density,183,155,0.847,headline_unsafe(leaky)
k123_multiseed,fwd,1,amenity_richness,158,122,0.7722,headline_safe
k123_multiseed,fwd,1,building_height,134,115,0.8582,headline_unsafe(leaky)
k123_multiseed,fwd,1,junction_type,228,208,0.9123,headline_unsafe(leaky)
k123_multiseed,fwd,1,land_use,233,203,0.8712,headline_unsafe(leaky)
k123_multiseed,fwd,1,road_surface,277,270,0.9747,headline_unsafe(leaky)
k123_multiseed,fwd,1,road_type,320,286,0.8938,headline_unsafe(leaky)
k123_multiseed,fwd,1,transit_density,130,118,0.9077,headline_safe
k123_multiseed,fwd,1,urban_density,183,159,0.8689,headline_unsafe(leaky)
k123_multiseed,random:101,1,amenity_richness,158,117,0.7405,headline_safe
k123_multiseed,random:101,1,building_height,134,112,0.8358,headline_unsafe(leaky)
k123_multiseed,random:101,1,junction_type,228,206,0.9035,headline_unsafe(leaky)
k123_multiseed,random:101,1,land_use,233,194,0.8326,headline_unsafe(leaky)
k123_multiseed,random:101,1,road_surface,277,257,0.9278,headline_unsafe(leaky)
k123_multiseed,random:101,1,road_type,320,273,0.8531,headline_unsafe(leaky)
k123_multiseed,random:101,1,transit_density,130,109,0.8385,headline_safe
