model,model_class,training,suite,split,topic,image_mode,n,accuracy,trust_flag
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,land_use,sat_only,421,0.487,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,building_height,sat_only,190,0.305,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,urban_density,sat_only,421,0.135,blind_heavy
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_type,sat_only,421,0.107,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_surface,sat_only,303,0.756,blind_heavy
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,junction_type,sat_only,334,0.084,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,green_space,sat_only,203,0.507,LABEL_LEAK
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,amenity_richness,sat_only,421,0.135,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,transit_density,sat_only,421,0.214,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_9urban,sat_only,3135,0.278,
GeoChat-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,OVERALL_8urban_noleak,sat_only,2932,0.2622,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,land_use,sat_only,421,0.534,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,building_height,sat_only,190,0.347,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,urban_density,sat_only,421,0.145,blind_heavy
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_type,sat_only,421,0.181,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,road_surface,sat_only,303,0.802,blind_heavy
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,junction_type,sat_only,334,0.308,
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,green_space,sat_only,203,0.537,LABEL_LEAK
SkySenseGPT-7B,zeroshot_external,none (zero-shot RS-VLM),benchmark_suite,benchmark,amenity_richness,sat_only,421,0.126,
