model,model_class,training,suite,split,topic,image_mode,n,accuracy,fusion_full_minus_best_single,trust_flag
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,amenity_richness,blind,5240,0.19,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,amenity_richness,sat_only,5240,0.3634,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,amenity_richness,sv_only,4819,0.3325,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,amenity_richness,full,5240,0.3587,-0.0048,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,building_height,blind,5240,0.4737,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,building_height,sat_only,5240,0.4842,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,building_height,sv_only,4819,0.5947,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,building_height,full,5240,0.6263,0.0316,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,camera_direction,blind,5240,0.247,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,camera_direction,sat_only,5240,0.2732,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,camera_direction,full,5240,0.2613,-0.0119,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,green_space,blind,5240,0.7143,,LABEL_LEAK
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,green_space,sat_only,5240,0.3645,,LABEL_LEAK
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,green_space,sv_only,4819,0.4236,,LABEL_LEAK
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,green_space,full,5240,0.3645,-0.0591,LABEL_LEAK
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,junction_type,blind,5240,0.3743,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,junction_type,sat_only,5240,0.506,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,junction_type,sv_only,4819,0.6647,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,junction_type,full,5240,0.6497,-0.015,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,land_use,blind,5240,0.4679,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,land_use,sat_only,5240,0.4893,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,land_use,sv_only,4819,0.5606,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,land_use,full,5240,0.5463,-0.0143,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_easy,blind,5240,0.4656,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_easy,sat_only,5240,0.4964,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_easy,sv_only,4819,0.5297,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_easy,full,5240,0.8029,0.2732,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_hard,blind,5240,0.5582,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_hard,sat_only,5240,0.5202,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_hard,sv_only,4819,0.4846,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_binary_hard,full,5240,0.7055,0.1853,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_easy,blind,5240,0.2589,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_easy,sat_only,5240,0.2542,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_easy,sv_only,4819,0.2447,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_easy,full,5240,0.6603,0.4062,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_hard,blind,5240,0.266,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_hard,sat_only,5240,0.2304,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_hard,sv_only,4819,0.2067,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,mismatch_mcq_hard,full,5240,0.5249,0.2945,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_surface,blind,5240,0.6601,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_surface,sat_only,5240,0.8383,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_surface,sv_only,4819,0.901,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_surface,full,5240,0.9175,0.0165,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_type,blind,5240,0.3895,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_type,sat_only,5240,0.3777,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_type,sv_only,4819,0.6437,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,road_type,full,5240,0.5986,-0.0451,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,transit_density,blind,5240,0.266,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,transit_density,sat_only,5240,0.2945,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,transit_density,sv_only,4819,0.3064,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,transit_density,full,5240,0.3017,-0.0048,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,urban_density,blind,5240,0.5321,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,urban_density,sat_only,5240,0.3729,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,urban_density,sv_only,4819,0.3919,,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,urban_density,full,5240,0.3824,-0.0095,blind_heavy
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_all,blind,5240,0.3994,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_all,sat_only,5240,0.4074,,sat_only/sv_only overall NOT cross-comparable (topic coverage differs)
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_all,sv_only,4819,0.4673,,sat_only/sv_only overall NOT cross-comparable (topic coverage differs)
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_all,full,5240,0.5445,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_9urban,blind,3135,0.4265,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_9urban,sat_only,3135,0.4427,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_9urban,sv_only,3135,0.5215,,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_9urban,full,3135,0.5132,-0.0083,
Qwen3.5-9B-raw,zeroshot,none (raw),benchmark_suite,benchmark,OVERALL_8urban_noleak,blind,2932,0.4065,,
