model,model_class,training,suite,split,topic,image_mode,n,accuracy,fusion_full_minus_best_single,trust_flag
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,amenity_richness,blind,5240,0.2637,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,amenity_richness,sat_only,5240,0.5344,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,amenity_richness,sv_only,4819,0.5653,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,amenity_richness,full,5240,0.5867,0.0214,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,building_height,blind,5240,0.4526,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,building_height,sat_only,5240,0.6737,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,building_height,sv_only,4819,0.6632,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,building_height,full,5240,0.6684,-0.0053,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,camera_direction,blind,5240,0.2518,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,camera_direction,sat_only,5240,0.2494,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,camera_direction,full,5240,0.4228,0.1734,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,green_space,blind,5240,1.0,,LABEL_LEAK
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,green_space,sat_only,5240,1.0,,LABEL_LEAK
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,green_space,sv_only,4819,1.0,,LABEL_LEAK
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,green_space,full,5240,1.0,0.0,LABEL_LEAK
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,junction_type,blind,5240,0.6138,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,junction_type,sat_only,5240,0.7335,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,junction_type,sv_only,4819,0.6856,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,junction_type,full,5240,0.7515,0.018,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,land_use,blind,5240,0.6865,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,land_use,sat_only,5240,0.7553,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,land_use,sv_only,4819,0.7506,,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,land_use,full,5240,0.753,-0.0024,
Qwen3.5-9B-pc,trained,per_city LoRA ckpt-2912,benchmark_suite,benchmark,mismatch_binary_easy,blind,5240,0.4656,,
